Wall time,Step,Value
1658810512.611604,0,0.33585163950920105
1658810530.832408,1,0.37156593799591064
1658810548.868779,2,0.39217033982276917
1658810567.029241,3,0.3907966911792755
1658810585.073126,4,0.41620880365371704
1658810603.261724,5,0.4512362778186798
1658810621.123061,6,0.45673078298568726
1658810638.834931,7,0.5082417726516724
1658810656.746353,8,0.5954670310020447
1658810674.968575,9,0.6517857313156128
1658810693.582742,10,0.6758241653442383
1658810713.142604,11,0.7012362480163574
1658810733.57928,12,0.6916208863258362
1658810753.779528,13,0.7424450516700745
1658810772.476192,14,0.7280219793319702
1658810791.654589,15,0.7396978139877319
1658810810.294965,16,0.7472527623176575
1658810829.080981,17,0.7335164546966553
1658810848.648724,18,0.7582417726516724
1658810867.657389,19,0.7582417726516724
