Wall time,Step,Value
1658810512.611219,0,1.2806271314620972
1658810530.832004,1,1.2353322505950928
1658810548.868396,2,1.2268743515014648
1658810567.028815,3,1.2174744606018066
1658810585.072711,4,1.2018786668777466
1658810603.261298,5,1.1793688535690308
1658810621.122628,6,1.1717965602874756
1658810638.83452,7,1.1230136156082153
1658810656.745892,8,1.0005666017532349
1658810674.968146,9,0.9046298265457153
1658810693.582295,10,0.8379957675933838
1658810713.142172,11,0.768660306930542
1658810733.578833,12,0.7583101987838745
1658810753.77909,13,0.6996890306472778
1658810772.475748,14,0.684398889541626
1658810791.654165,15,0.6506553292274475
1658810810.294553,16,0.6440379023551941
1658810829.080571,17,0.6525394320487976
1658810848.648265,18,0.6075984835624695
1658810867.656958,19,0.6064014434814453
